T,training_seed,evaluation_seed,method,n,n_design_replicates,design_replicates_per_system,design_replication_note,terminal_eig_mean,terminal_eig_std,ci95_low,ci95_high,seconds,offline_training_or_calibration_seconds,training_time_seconds,online_seconds_per_rollout,n_unique_sequences,eval_seed,timing_scope
3,202,1002,myopic_delta_h,512,512,1,one deterministic design per held-out system,6.7076895093118765,0.3722054760338341,6.675448854839836,6.739930163783917,3.2116251159459352,0.0,0.0,0.006272705304581905,476,1002,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,202,1002,fixed_open_loop,512,512,1,one deterministic design per held-out system,6.2685219890272315,0.7020726086734985,6.207708051973633,6.32933592608083,0.1948379910318181,0.07339554105419666,0.07339554105419666,0.0003805429512340197,1,1002,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,202,1002,random,512,16384,32,expected performance averaged over randomized designs,3.786980524038952,1.2017079349872386,3.682887884884145,3.891073163193759,7.0408170849550515,0.0,0.0,0.0004297373709079011,12581,1002,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,202,1003,dad_eig,512,512,1,one deterministic design per held-out system,6.8247849712715185,0.250696619612335,6.803069484502336,6.846500458040701,2.676247616065666,1199.8118668339448,1199.8118668339448,0.005227046125128254,22,1003,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,202,1003,rl_sboed_eig,512,512,1,one deterministic design per held-out system,6.846839271678873,0.23173420649254442,6.826766320145513,6.866912223212234,2.3796628379495814,1039.950719287037,1039.950719287037,0.004647778980370276,31,1003,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,202,1003,step_dad,512,512,1,one deterministic design per held-out system,6.826428336216399,0.24592406864851712,6.8051262505831005,6.847730421849697,3173.088808726985,1199.8118668339448,1199.8118668339448,6.197439079544893,87,1003,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,202,1003,myopic_delta_h,512,512,1,one deterministic design per held-out system,6.711186205778084,0.3804487801331519,6.678231511518112,6.744140900038056,3.2105656190542504,0.0,0.0,0.006270635974715333,471,1003,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,202,1003,fixed_open_loop,512,512,1,one deterministic design per held-out system,6.284802131717449,0.7001683086270368,6.224153146239693,6.345451117195206,0.19522284297272563,0.07339554105419666,0.07339554105419666,0.00038129461518110475,1,1003,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,202,1003,random,512,16384,32,expected performance averaged over randomized designs,3.7655682817439953,1.227787572662469,3.6592166092294356,3.871919954258555,7.075463274028152,0.0,0.0,0.00043185200647144484,12530,1003,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
3,202,1004,dad_eig,512,512,1,one deterministic design per held-out system,6.828923425594403,0.2564724127622943,6.8067076362685945,6.851139214920211,2.6428955199662596,1199.8118668339448,1199.8118668339448,0.005161905312434101,22,1004,offline=method-specific preparation; online=CUDA-synchronized warm action selection + observation lookup + posterior update; shared physical-bank generation excluded
